order_id,product_id,customer_id,order_date,return_date,product_category,product_price,quantity,return_reason,return_status,days_to_return,payment_method,shipping_method,discount_applied,source
ORD00004254,PROD00004254,USER00004254,2023-01-09,,Home,395.95,2,,Not Returned,,Credit Card,Next-Day,3.44,synthetic_returns
ORD00004506,PROD00004506,USER00004506,2023-01-09,,Books,374.06,1,,Not Returned,,Gift Card,Next-Day,33.23,synthetic_returns
ORD00006951,PROD00006951,USER00006951,2023-01-09,,Home,85.8,2,,Not Returned,,Debit Card,Express,40.94,synthetic_returns
ORD00002930,PROD00002930,USER00002930,2023-01-10,2024-01-02,Electronics,454.54,3,Defective,Returned,357.0,PayPal,Next-Day,20.46,synthetic_returns
ORD00002823,PROD00002823,USER00002823,2023-01-11,2024-12-03,Home,166.94,5,Defective,Returned,692.0,Gift Card,Express,36.24,synthetic_returns
ORD00008181,PROD00008181,USER00008181,2023-01-11,2023-05-04,Clothing,121.76,1,Changed mind,Returned,113.0,Gift Card,Express,38.64,synthetic_returns
ORD00000439,PROD00000439,USER00000439,2023-01-12,2023-09-01,Toys,396.86,1,Changed mind,Returned,232.0,Credit Card,Standard,23.32,synthetic_returns
ORD00001413,PROD00001413,USER00001413,2023-01-12,,Toys,380.47,1,,Not Returned,,Debit Card,Express,30.43,synthetic_returns
ORD00002886,PROD00002886,USER00002886,2023-01-12,2024-10-30,Electronics,499.71,2,Defective,Returned,657.0,Credit Card,Next-Day,36.85,synthetic_returns
ORD00003411,PROD00003411,USER00003411,2023-01-12,,Clothing,466.93,1,,Not Returned,,Gift Card,Next-Day,44.41,synthetic_returns
ORD00001038,PROD00001038,USER00001038,2023-01-13,,Books,429.68,2,,Not Returned,,Debit Card,Standard,47.29,synthetic_returns
ORD00005359,PROD00005359,USER00005359,2023-01-13,,Electronics,173.58,4,,Not Returned,,Gift Card,Standard,41.92,synthetic_returns
ORD00007585,PROD00007585,USER00007585,2023-01-13,2023-07-07,Clothing,328.07,4,Defective,Returned,175.0,Credit Card,Standard,10.66,synthetic_returns
ORD00001483,PROD00001483,USER00001483,2023-01-14,2024-07-30,Home,40.5,1,Defective,Returned,563.0,PayPal,Next-Day,47.0,synthetic_returns
ORD00003325,PROD00003325,USER00003325,2023-01-14,,Home,192.46,5,,Not Returned,,Debit Card,Standard,20.51,synthetic_returns
ORD00004216,PROD00004216,USER00004216,2023-01-14,,Electronics,225.05,2,,Not Returned,,Gift Card,Next-Day,12.86,synthetic_returns
ORD00005711,PROD00005711,USER00005711,2023-01-14,2024-07-31,Clothing,147.78,4,Not as described,Returned,564.0,Gift Card,Next-Day,14.54,synthetic_returns
ORD00007599,PROD00007599,USER00007599,2023-01-14,2023-02-16,Toys,234.76,3,Changed mind,Returned,33.0,Debit Card,Standard,6.34,synthetic_returns
ORD00008413,PROD00008413,USER00008413,2023-01-14,2024-01-15,Electronics,209.8,1,Wrong item,Returned,366.0,PayPal,Standard,7.86,synthetic_returns
ORD00009039,PROD00009039,USER00009039,2023-01-14,2024-11-02,Electronics,133.31,5,Defective,Returned,658.0,Credit Card,Standard,38.4,synthetic_returns
ORD00003555,PROD00003555,USER00003555,2023-01-15,2023-01-09,Clothing,36.07,2,Changed mind,Returned,-6.0,PayPal,Standard,44.3,synthetic_returns
ORD00003912,PROD00003912,USER00003912,2023-01-16,2023-12-22,Books,380.25,1,Wrong item,Returned,340.0,Debit Card,Express,42.44,synthetic_returns
ORD00004856,PROD00004856,USER00004856,2023-01-16,2023-11-14,Home,323.53,3,Defective,Returned,302.0,Gift Card,Standard,10.95,synthetic_returns
ORD00005205,PROD00005205,USER00005205,2023-01-16,,Books,370.34,2,,Not Returned,,Credit Card,Next-Day,4.48,synthetic_returns
ORD00001199,PROD00001199,USER00001199,2023-01-17,2024-03-22,Clothing,113.7,4,Wrong item,Returned,430.0,Gift Card,Standard,19.4,synthetic_returns
ORD00006323,PROD00006323,USER00006323,2023-01-17,2023-12-16,Clothing,425.96,3,Changed mind,Returned,333.0,PayPal,Standard,20.6,synthetic_returns
ORD00007770,PROD00007770,USER00007770,2023-01-17,2023-03-18,Electronics,359.26,3,Wrong item,Returned,60.0,Debit Card,Next-Day,28.86,synthetic_returns
ORD00008706,PROD00008706,USER00008706,2023-01-17,2024-12-30,Books,79.59,4,Defective,Returned,713.0,Credit Card,Standard,2.26,synthetic_returns
ORD00001217,PROD00001217,USER00001217,2023-01-18,2023-02-14,Home,497.13,5,Wrong item,Returned,27.0,PayPal,Next-Day,27.8,synthetic_returns
ORD00006120,PROD00006120,USER00006120,2023-01-18,2023-07-26,Home,280.12,4,Defective,Returned,189.0,Gift Card,Next-Day,26.27,synthetic_returns
ORD00006217,PROD00006217,USER00006217,2023-01-18,2024-06-15,Clothing,201.51,3,Wrong item,Returned,514.0,Credit Card,Standard,22.88,synthetic_returns
ORD00007023,PROD00007023,USER00007023,2023-01-18,2024-04-23,Home,422.68,2,Not as described,Returned,461.0,Credit Card,Express,36.33,synthetic_returns
ORD00002108,PROD00002108,USER00002108,2023-01-19,,Books,439.43,5,,Not Returned,,Gift Card,Standard,16.87,synthetic_returns
ORD00003312,PROD00003312,USER00003312,2023-01-20,2023-01-01,Books,353.5,3,Not as described,Returned,-19.0,Debit Card,Next-Day,9.52,synthetic_returns
ORD00007646,PROD00007646,USER00007646,2023-01-20,,Clothing,214.55,2,,Not Returned,,Gift Card,Standard,4.11,synthetic_returns
ORD00007801,PROD00007801,USER00007801,2023-01-20,2024-09-18,Toys,113.79,2,Defective,Returned,607.0,Debit Card,Express,45.83,synthetic_returns
ORD00001791,PROD00001791,USER00001791,2023-01-21,,Home,130.2,4,,Not Returned,,PayPal,Next-Day,19.29,synthetic_returns
ORD00002748,PROD00002748,USER00002748,2023-01-21,2023-08-16,Clothing,89.8,5,Changed mind,Returned,207.0,PayPal,Next-Day,9.51,synthetic_returns
ORD00002750,PROD00002750,USER00002750,2023-01-21,,Toys,448.57,1,,Not Returned,,PayPal,Express,12.62,synthetic_returns
ORD00007234,PROD00007234,USER00007234,2023-01-21,,Electronics,75.41,1,,Not Returned,,Gift Card,Standard,13.82,synthetic_returns
ORD00007522,PROD00007522,USER00007522,2023-01-21,2024-01-20,Toys,202.5,3,Not as described,Returned,364.0,Credit Card,Express,21.48,synthetic_returns
ORD00007590,PROD00007590,USER00007590,2023-01-21,,Electronics,90.36,1,,Not Returned,,Debit Card,Next-Day,31.84,synthetic_returns
ORD00009977,PROD00009977,USER00009977,2023-01-21,,Home,48.37,4,,Not Returned,,PayPal,Next-Day,25.77,synthetic_returns
ORD00001768,PROD00001768,USER00001768,2023-01-22,,Books,92.63,3,,Not Returned,,Gift Card,Express,14.96,synthetic_returns
ORD00009447,PROD00009447,USER00009447,2023-01-22,2023-11-12,Home,58.11,1,Wrong item,Returned,294.0,PayPal,Express,44.02,synthetic_returns
ORD00008847,PROD00008847,USER00008847,2023-01-23,2024-07-02,Books,60.72,3,Wrong item,Returned,526.0,Credit Card,Express,27.31,synthetic_returns
ORD00008024,PROD00008024,USER00008024,2023-01-24,,Home,160.37,1,,Not Returned,,Debit Card,Standard,38.35,synthetic_returns
ORD00009709,PROD00009709,USER00009709,2023-01-24,2024-07-10,Books,128.51,1,Not as described,Returned,533.0,Credit Card,Standard,9.81,synthetic_returns
ORD00003061,PROD00003061,USER00003061,2023-01-25,,Home,298.86,3,,Not Returned,,PayPal,Express,5.17,synthetic_returns
ORD00004374,PROD00004374,USER00004374,2023-01-25,2023-09-14,Home,167.57,3,Changed mind,Returned,232.0,PayPal,Standard,32.26,synthetic_returns
ORD00001155,PROD00001155,USER00001155,2023-01-26,,Toys,264.68,3,,Not Returned,,Credit Card,Standard,2.9,synthetic_returns
ORD00003767,PROD00003767,USER00003767,2023-01-26,2023-04-15,Clothing,112.68,5,Not as described,Returned,79.0,Gift Card,Next-Day,0.82,synthetic_returns
ORD00005746,PROD00005746,USER00005746,2023-01-26,,Home,455.33,5,,Not Returned,,Debit Card,Express,25.24,synthetic_returns
ORD00007876,PROD00007876,USER00007876,2023-01-26,,Home,323.17,2,,Not Returned,,Gift Card,Express,37.83,synthetic_returns
ORD00002348,PROD00002348,USER00002348,2023-01-27,2024-05-29,Toys,13.72,5,Wrong item,Returned,488.0,Credit Card,Next-Day,29.75,synthetic_returns
ORD00005795,PROD00005795,USER00005795,2023-01-27,,Books,297.11,2,,Not Returned,,PayPal,Standard,45.09,synthetic_returns
ORD00001330,PROD00001330,USER00001330,2023-01-28,2023-06-17,Toys,144.88,1,Not as described,Returned,140.0,PayPal,Standard,29.83,synthetic_returns
ORD00003992,PROD00003992,USER00003992,2023-01-28,2023-02-27,Books,182.86,4,Wrong item,Returned,30.0,Gift Card,Next-Day,15.82,synthetic_returns
ORD00007162,PROD00007162,USER00007162,2023-01-28,,Electronics,369.59,4,,Not Returned,,Credit Card,Standard,8.48,synthetic_returns
ORD00003184,PROD00003184,USER00003184,2023-01-29,,Toys,399.67,5,,Not Returned,,Debit Card,Standard,38.08,synthetic_returns
ORD00007623,PROD00007623,USER00007623,2023-01-29,2023-07-15,Home,458.49,1,Changed mind,Returned,167.0,Gift Card,Express,5.22,synthetic_returns
ORD00007887,PROD00007887,USER00007887,2023-01-29,,Toys,9.61,2,,Not Returned,,Gift Card,Next-Day,24.7,synthetic_returns
ORD00009142,PROD00009142,USER00009142,2023-01-29,,Home,61.85,1,,Not Returned,,Credit Card,Next-Day,14.29,synthetic_returns
ORD00001103,PROD00001103,USER00001103,2023-01-30,2024-09-01,Home,259.63,4,Wrong item,Returned,580.0,PayPal,Standard,2.15,synthetic_returns
ORD00001575,PROD00001575,USER00001575,2023-01-30,,Books,455.07,4,,Not Returned,,PayPal,Standard,26.2,synthetic_returns
ORD00002486,PROD00002486,USER00002486,2023-01-30,2023-01-02,Toys,253.19,5,Not as described,Returned,-28.0,Credit Card,Standard,9.06,synthetic_returns
ORD00006004,PROD00006004,USER00006004,2023-01-30,,Home,342.0,1,,Not Returned,,Gift Card,Standard,5.65,synthetic_returns
ORD00006552,PROD00006552,USER00006552,2023-01-31,,Books,350.49,5,,Not Returned,,Debit Card,Standard,22.35,synthetic_returns
ORD00007047,PROD00007047,USER00007047,2023-01-31,,Home,441.11,3,,Not Returned,,Credit Card,Next-Day,29.39,synthetic_returns
ORD00001254,PROD00001254,USER00001254,2023-02-01,2024-04-03,Books,287.54,2,Defective,Returned,427.0,Debit Card,Standard,5.36,synthetic_returns
ORD00008260,PROD00008260,USER00008260,2023-02-01,2023-05-04,Books,266.47,4,Changed mind,Returned,92.0,Gift Card,Standard,25.18,synthetic_returns
ORD00003771,PROD00003771,USER00003771,2023-02-02,,Electronics,236.43,2,,Not Returned,,Gift Card,Standard,40.73,synthetic_returns
ORD00007821,PROD00007821,USER00007821,2023-02-02,,Electronics,295.93,1,,Not Returned,,Credit Card,Next-Day,5.03,synthetic_returns
ORD00008239,PROD00008239,USER00008239,2023-02-02,2024-09-26,Clothing,176.97,2,Not as described,Returned,602.0,Gift Card,Standard,49.37,synthetic_returns
ORD00000017,PROD00000017,USER00000017,2023-02-03,2023-06-03,Electronics,400.12,1,Defective,Returned,120.0,PayPal,Standard,18.25,synthetic_returns
ORD00000713,PROD00000713,USER00000713,2023-02-03,,Home,436.46,5,,Not Returned,,Gift Card,Next-Day,13.62,synthetic_returns
ORD00004084,PROD00004084,USER00004084,2023-02-03,2024-01-01,Clothing,197.15,4,Defective,Returned,332.0,Credit Card,Next-Day,42.62,synthetic_returns
ORD00004684,PROD00004684,USER00004684,2023-02-04,2024-05-14,Home,450.97,4,Defective,Returned,465.0,Gift Card,Next-Day,31.97,synthetic_returns
ORD00006759,PROD00006759,USER00006759,2023-02-04,2023-11-21,Clothing,375.6,1,Wrong item,Returned,290.0,Credit Card,Next-Day,40.31,synthetic_returns
ORD00007713,PROD00007713,USER00007713,2023-02-04,2024-10-08,Books,465.02,1,Defective,Returned,612.0,Gift Card,Express,23.3,synthetic_returns
ORD00008474,PROD00008474,USER00008474,2023-02-04,,Clothing,401.69,2,,Not Returned,,Credit Card,Express,33.03,synthetic_returns
ORD00008517,PROD00008517,USER00008517,2023-02-04,,Books,77.1,2,,Not Returned,,Debit Card,Express,22.51,synthetic_returns
ORD00000568,PROD00000568,USER00000568,2023-02-05,2024-12-25,Books,335.54,3,Changed mind,Returned,689.0,Gift Card,Express,41.45,synthetic_returns
ORD00009137,PROD00009137,USER00009137,2023-02-05,,Books,151.94,2,,Not Returned,,Debit Card,Next-Day,29.81,synthetic_returns
ORD00001662,PROD00001662,USER00001662,2023-02-06,2024-05-18,Toys,225.2,1,Changed mind,Returned,467.0,PayPal,Standard,41.65,synthetic_returns
ORD00006808,PROD00006808,USER00006808,2023-02-06,,Books,150.87,4,,Not Returned,,Gift Card,Standard,10.56,synthetic_returns
ORD00001360,PROD00001360,USER00001360,2023-02-07,2023-04-14,Electronics,363.26,4,Changed mind,Returned,66.0,Gift Card,Express,46.42,synthetic_returns
ORD00004477,PROD00004477,USER00004477,2023-02-07,2023-03-14,Electronics,232.37,3,Not as described,Returned,35.0,Debit Card,Express,23.53,synthetic_returns
ORD00008598,PROD00008598,USER00008598,2023-02-07,2023-01-03,Clothing,103.42,4,Defective,Returned,-35.0,Debit Card,Standard,6.75,synthetic_returns
ORD00001109,PROD00001109,USER00001109,2023-02-09,,Books,160.95,5,,Not Returned,,PayPal,Standard,11.65,synthetic_returns
ORD00007032,PROD00007032,USER00007032,2023-02-09,,Electronics,322.79,5,,Not Returned,,Debit Card,Standard,17.63,synthetic_returns
ORD00007142,PROD00007142,USER00007142,2023-02-09,,Toys,281.44,2,,Not Returned,,Debit Card,Express,46.25,synthetic_returns
ORD00009685,PROD00009685,USER00009685,2023-02-09,,Electronics,421.87,2,,Not Returned,,PayPal,Express,22.76,synthetic_returns
ORD00002417,PROD00002417,USER00002417,2023-02-10,,Home,126.71,3,,Not Returned,,Credit Card,Standard,43.08,synthetic_returns
ORD00004751,PROD00004751,USER00004751,2023-02-10,,Clothing,154.81,1,,Not Returned,,Gift Card,Standard,36.75,synthetic_returns
ORD00006300,PROD00006300,USER00006300,2023-02-10,,Books,128.22,2,,Not Returned,,Credit Card,Express,48.25,synthetic_returns
ORD00007063,PROD00007063,USER00007063,2023-02-10,2023-11-04,Home,250.16,4,Not as described,Returned,267.0,PayPal,Next-Day,38.12,synthetic_returns
ORD00007514,PROD00007514,USER00007514,2023-02-10,,Books,35.17,4,,Not Returned,,Gift Card,Standard,42.93,synthetic_returns
ORD00000037,PROD00000037,USER00000037,2023-02-11,2024-05-10,Clothing,246.15,1,Wrong item,Returned,454.0,Gift Card,Standard,23.63,synthetic_returns
ORD00002519,PROD00002519,USER00002519,2023-02-11,2024-06-11,Books,208.36,5,Wrong item,Returned,486.0,Debit Card,Standard,4.25,synthetic_returns
ORD00006149,PROD00006149,USER00006149,2023-02-11,2024-03-10,Books,198.68,4,Not as described,Returned,393.0,Gift Card,Express,26.43,synthetic_returns
ORD00007228,PROD00007228,USER00007228,2023-02-12,2023-04-28,Electronics,230.07,5,Defective,Returned,75.0,Debit Card,Next-Day,23.41,synthetic_returns
ORD00009148,PROD00009148,USER00009148,2023-02-12,,Home,298.02,2,,Not Returned,,Debit Card,Express,25.22,synthetic_returns
ORD00000059,PROD00000059,USER00000059,2023-02-13,,Electronics,16.37,2,,Not Returned,,Credit Card,Next-Day,16.08,synthetic_returns
ORD00003597,PROD00003597,USER00003597,2023-02-13,2023-04-19,Toys,210.98,4,Defective,Returned,65.0,Gift Card,Standard,31.11,synthetic_returns
ORD00005572,PROD00005572,USER00005572,2023-02-13,2024-11-11,Electronics,26.3,3,Wrong item,Returned,637.0,Credit Card,Express,45.21,synthetic_returns
ORD00007108,PROD00007108,USER00007108,2023-02-13,,Clothing,246.99,3,,Not Returned,,Credit Card,Next-Day,43.05,synthetic_returns
ORD00002133,PROD00002133,USER00002133,2023-02-14,,Books,446.49,4,,Not Returned,,PayPal,Express,42.25,synthetic_returns
ORD00005580,PROD00005580,USER00005580,2023-02-14,2024-11-18,Clothing,381.42,2,Wrong item,Returned,643.0,Gift Card,Standard,14.4,synthetic_returns
ORD00000132,PROD00000132,USER00000132,2023-02-15,2024-09-03,Electronics,174.94,1,Defective,Returned,566.0,PayPal,Next-Day,22.43,synthetic_returns
ORD00009335,PROD00009335,USER00009335,2023-02-15,,Clothing,324.75,2,,Not Returned,,Gift Card,Standard,15.3,synthetic_returns
ORD00000500,PROD00000500,USER00000500,2023-02-16,,Electronics,112.0,4,,Not Returned,,Gift Card,Express,21.81,synthetic_returns
ORD00006062,PROD00006062,USER00006062,2023-02-17,,Books,343.29,4,,Not Returned,,Credit Card,Express,26.13,synthetic_returns
ORD00007879,PROD00007879,USER00007879,2023-02-17,2023-05-03,Books,230.02,2,Defective,Returned,75.0,Gift Card,Express,39.76,synthetic_returns
ORD00006426,PROD00006426,USER00006426,2023-02-18,2024-01-21,Books,194.33,3,Changed mind,Returned,337.0,PayPal,Standard,30.63,synthetic_returns
ORD00009050,PROD00009050,USER00009050,2023-02-18,,Home,206.01,4,,Not Returned,,Debit Card,Standard,4.9,synthetic_returns
ORD00005156,PROD00005156,USER00005156,2023-02-19,2024-03-23,Electronics,30.23,4,Changed mind,Returned,398.0,PayPal,Express,3.19,synthetic_returns
ORD00009200,PROD00009200,USER00009200,2023-02-19,,Toys,63.58,1,,Not Returned,,Credit Card,Next-Day,36.28,synthetic_returns
ORD00005012,PROD00005012,USER00005012,2023-02-21,,Electronics,454.27,2,,Not Returned,,Gift Card,Next-Day,31.47,synthetic_returns
ORD00006100,PROD00006100,USER00006100,2023-02-21,2023-08-23,Toys,28.62,3,Not as described,Returned,183.0,Gift Card,Express,45.59,synthetic_returns
ORD00009112,PROD00009112,USER00009112,2023-02-21,,Electronics,432.9,4,,Not Returned,,Debit Card,Next-Day,27.42,synthetic_returns
ORD00004899,PROD00004899,USER00004899,2023-02-22,,Books,268.65,4,,Not Returned,,PayPal,Express,27.2,synthetic_returns
ORD00006423,PROD00006423,USER00006423,2023-02-22,2023-10-10,Toys,78.86,5,Not as described,Returned,230.0,Debit Card,Next-Day,28.72,synthetic_returns
ORD00007684,PROD00007684,USER00007684,2023-02-22,2024-09-21,Books,327.07,1,Defective,Returned,577.0,Credit Card,Standard,7.0,synthetic_returns
ORD00009018,PROD00009018,USER00009018,2023-02-22,2024-02-10,Home,335.57,5,Changed mind,Returned,353.0,Credit Card,Express,26.11,synthetic_returns
ORD00009186,PROD00009186,USER00009186,2023-02-22,2023-08-01,Books,12.49,4,Not as described,Returned,160.0,PayPal,Next-Day,26.93,synthetic_returns
ORD00002574,PROD00002574,USER00002574,2023-02-23,,Home,456.97,1,,Not Returned,,Credit Card,Next-Day,17.33,synthetic_returns
ORD00004787,PROD00004787,USER00004787,2023-02-23,,Clothing,482.83,2,,Not Returned,,Debit Card,Next-Day,1.06,synthetic_returns
ORD00007640,PROD00007640,USER00007640,2023-02-23,2024-11-28,Books,235.15,5,Not as described,Returned,644.0,Credit Card,Standard,32.22,synthetic_returns
ORD00007691,PROD00007691,USER00007691,2023-02-23,,Books,304.41,1,,Not Returned,,Credit Card,Express,39.63,synthetic_returns
ORD00009791,PROD00009791,USER00009791,2023-02-23,,Books,426.01,1,,Not Returned,,Debit Card,Next-Day,47.56,synthetic_returns
ORD00003021,PROD00003021,USER00003021,2023-02-24,,Clothing,153.62,4,,Not Returned,,Debit Card,Express,9.89,synthetic_returns
ORD00004993,PROD00004993,USER00004993,2023-02-24,,Clothing,63.07,5,,Not Returned,,Debit Card,Standard,5.13,synthetic_returns
ORD00009525,PROD00009525,USER00009525,2023-02-25,,Electronics,110.07,3,,Not Returned,,Debit Card,Standard,17.5,synthetic_returns
ORD00005861,PROD00005861,USER00005861,2023-02-26,2023-01-17,Electronics,496.19,2,Wrong item,Returned,-40.0,Debit Card,Next-Day,47.4,synthetic_returns
ORD00000095,PROD00000095,USER00000095,2023-02-27,,Books,490.55,1,,Not Returned,,PayPal,Standard,17.9,synthetic_returns
ORD00001068,PROD00001068,USER00001068,2023-02-27,,Home,150.91,5,,Not Returned,,Debit Card,Next-Day,33.8,synthetic_returns
ORD00005902,PROD00005902,USER00005902,2023-02-27,,Toys,208.27,1,,Not Returned,,PayPal,Express,28.78,synthetic_returns
ORD00004919,PROD00004919,USER00004919,2023-02-28,2024-09-28,Home,167.27,3,Defective,Returned,578.0,PayPal,Next-Day,36.22,synthetic_returns
ORD00001650,PROD00001650,USER00001650,2023-03-01,2023-12-29,Electronics,215.96,3,Wrong item,Returned,303.0,Gift Card,Express,7.71,synthetic_returns
ORD00004914,PROD00004914,USER00004914,2023-03-01,2024-01-27,Toys,175.1,1,Changed mind,Returned,332.0,Gift Card,Next-Day,11.56,synthetic_returns
ORD00006202,PROD00006202,USER00006202,2023-03-01,,Toys,270.7,4,,Not Returned,,Debit Card,Standard,0.26,synthetic_returns
ORD00002167,PROD00002167,USER00002167,2023-03-02,,Home,219.11,3,,Not Returned,,PayPal,Express,24.02,synthetic_returns
ORD00002191,PROD00002191,USER00002191,2023-03-02,2023-01-06,Electronics,305.87,1,Changed mind,Returned,-55.0,Credit Card,Next-Day,43.43,synthetic_returns
ORD00002833,PROD00002833,USER00002833,2023-03-02,2023-03-17,Toys,159.42,3,Not as described,Returned,15.0,Gift Card,Express,1.62,synthetic_returns
ORD00003643,PROD00003643,USER00003643,2023-03-02,2023-06-07,Books,145.26,3,Defective,Returned,97.0,PayPal,Next-Day,46.4,synthetic_returns
ORD00008283,PROD00008283,USER00008283,2023-03-02,2024-05-11,Toys,431.14,5,Wrong item,Returned,436.0,Credit Card,Next-Day,39.44,synthetic_returns
ORD00000592,PROD00000592,USER00000592,2023-03-03,2024-10-03,Home,41.35,3,Defective,Returned,580.0,Credit Card,Next-Day,25.77,synthetic_returns
ORD00007155,PROD00007155,USER00007155,2023-03-03,2024-05-11,Electronics,247.25,4,Defective,Returned,435.0,Debit Card,Standard,31.87,synthetic_returns
ORD00007375,PROD00007375,USER00007375,2023-03-03,,Books,28.14,1,,Not Returned,,Credit Card,Express,37.37,synthetic_returns
ORD00008316,PROD00008316,USER00008316,2023-03-03,2024-08-15,Electronics,130.12,4,Changed mind,Returned,531.0,Gift Card,Standard,11.77,synthetic_returns
ORD00008757,PROD00008757,USER00008757,2023-03-03,2024-08-18,Electronics,36.76,5,Not as described,Returned,534.0,Gift Card,Standard,6.24,synthetic_returns
ORD00007407,PROD00007407,USER00007407,2023-03-05,2023-01-05,Electronics,190.04,4,Wrong item,Returned,-59.0,Credit Card,Next-Day,23.56,synthetic_returns
ORD00002075,PROD00002075,USER00002075,2023-03-06,,Clothing,462.66,2,,Not Returned,,Debit Card,Next-Day,40.9,synthetic_returns
ORD00004362,PROD00004362,USER00004362,2023-03-06,2023-11-30,Books,478.96,2,Not as described,Returned,269.0,Credit Card,Next-Day,10.0,synthetic_returns
ORD00005802,PROD00005802,USER00005802,2023-03-06,,Electronics,469.48,3,,Not Returned,,Credit Card,Express,49.88,synthetic_returns
ORD00006765,PROD00006765,USER00006765,2023-03-06,,Clothing,432.15,2,,Not Returned,,Gift Card,Standard,34.74,synthetic_returns
ORD00002303,PROD00002303,USER00002303,2023-03-07,,Electronics,113.45,3,,Not Returned,,Credit Card,Next-Day,40.23,synthetic_returns
ORD00003399,PROD00003399,USER00003399,2023-03-07,,Clothing,421.56,5,,Not Returned,,Gift Card,Express,42.73,synthetic_returns
ORD00006682,PROD00006682,USER00006682,2023-03-07,2023-08-04,Home,478.61,3,Changed mind,Returned,150.0,PayPal,Next-Day,37.7,synthetic_returns
ORD00001245,PROD00001245,USER00001245,2023-03-09,2023-06-09,Toys,449.45,4,Wrong item,Returned,92.0,PayPal,Standard,6.72,synthetic_returns
ORD00004193,PROD00004193,USER00004193,2023-03-09,,Toys,416.28,5,,Not Returned,,PayPal,Express,36.5,synthetic_returns
ORD00005653,PROD00005653,USER00005653,2023-03-09,2023-11-27,Home,68.09,5,Wrong item,Returned,263.0,Credit Card,Express,14.62,synthetic_returns
ORD00007333,PROD00007333,USER00007333,2023-03-09,2023-05-02,Electronics,73.47,1,Not as described,Returned,54.0,Debit Card,Next-Day,10.09,synthetic_returns
ORD00000711,PROD00000711,USER00000711,2023-03-10,,Home,234.72,3,,Not Returned,,PayPal,Next-Day,40.79,synthetic_returns
ORD00001056,PROD00001056,USER00001056,2023-03-10,2024-08-20,Books,305.41,4,Not as described,Returned,529.0,PayPal,Next-Day,25.07,synthetic_returns
