shipment_id,warehouse_block,shipment_mode,customer_care_calls,customer_rating,product_cost,prior_purchases,product_importance,customer_gender,discount_offered,weight_grams,is_delayed,source
312,F,Ship,3,2,154,3,low,F,56,1136,1,shipping_data
316,B,Ship,4,2,138,3,low,F,30,1805,1,shipping_data
317,C,Ship,4,2,238,2,high,M,17,3358,1,shipping_data
319,D,Ship,3,1,200,2,medium,M,27,2551,1,shipping_data
322,B,Ship,4,5,141,3,medium,M,12,1672,1,shipping_data
331,D,Ship,3,4,197,3,medium,F,56,3427,1,shipping_data
334,B,Ship,3,4,211,3,medium,M,8,3710,1,shipping_data
336,F,Ship,3,1,194,4,low,M,64,2026,1,shipping_data
347,C,Ship,5,5,260,2,medium,F,55,2791,1,shipping_data
350,F,Ship,5,1,161,3,low,M,47,1954,1,shipping_data
361,D,Ship,5,2,246,3,medium,M,49,3236,1,shipping_data
368,F,Ship,3,3,135,3,low,M,8,1074,1,shipping_data
374,F,Ship,5,1,136,3,medium,M,19,1420,1,shipping_data
380,F,Ship,3,2,201,3,medium,M,5,2040,1,shipping_data
382,B,Ship,5,2,199,4,low,F,59,2885,1,shipping_data
389,C,Road,4,3,225,3,low,F,62,2587,1,shipping_data
399,A,Road,4,3,152,3,low,M,58,1453,1,shipping_data
400,B,Road,3,1,220,2,high,F,40,3773,1,shipping_data
408,F,Flight,4,5,193,3,medium,M,65,2267,1,shipping_data
409,D,Flight,3,2,192,3,medium,M,43,3339,1,shipping_data
410,F,Flight,2,5,166,3,medium,M,3,1832,1,shipping_data
411,A,Flight,3,2,264,3,medium,M,5,3861,1,shipping_data
416,F,Flight,3,2,115,3,low,F,27,1814,1,shipping_data
417,A,Flight,4,3,159,3,low,M,33,1330,1,shipping_data
425,C,Flight,4,1,203,4,low,M,34,3813,1,shipping_data
427,D,Flight,3,4,167,3,medium,M,52,1755,1,shipping_data
428,F,Flight,5,4,197,4,low,F,40,3303,1,shipping_data
432,F,Ship,4,2,96,3,low,M,22,1294,1,shipping_data
435,A,Ship,4,1,216,3,low,F,43,2643,1,shipping_data
440,F,Ship,3,3,172,3,low,F,58,1269,1,shipping_data
441,A,Ship,3,5,251,2,high,M,23,2426,1,shipping_data
451,D,Ship,4,4,244,3,medium,F,55,2782,1,shipping_data
458,F,Ship,3,4,145,8,low,F,15,1429,1,shipping_data
462,F,Ship,3,4,220,7,low,M,43,2620,1,shipping_data
466,B,Ship,3,2,294,4,low,F,15,1318,1,shipping_data
468,F,Ship,4,4,173,5,medium,F,2,1175,1,shipping_data
469,D,Ship,3,5,194,3,medium,F,10,2277,1,shipping_data
470,F,Ship,3,5,183,3,low,F,2,3459,1,shipping_data
484,B,Ship,3,2,244,8,low,F,50,3562,1,shipping_data
487,D,Ship,3,1,294,4,low,F,25,1498,1,shipping_data
488,F,Ship,4,1,139,3,low,F,56,1811,1,shipping_data
497,C,Ship,4,2,216,3,low,F,12,2273,1,shipping_data
501,A,Ship,3,4,212,2,low,M,33,2021,1,shipping_data
511,D,Ship,3,2,200,3,low,M,46,3642,1,shipping_data
519,A,Ship,4,5,138,3,medium,M,23,1785,1,shipping_data
531,A,Road,3,2,237,2,high,M,26,3103,1,shipping_data
533,C,Road,4,3,192,3,low,F,43,3498,1,shipping_data
534,F,Road,3,1,141,3,medium,F,39,1838,1,shipping_data
543,A,Road,4,5,218,3,low,F,40,3200,1,shipping_data
544,B,Flight,3,3,231,2,low,M,46,2962,1,shipping_data
550,B,Flight,3,4,176,3,medium,F,8,1567,1,shipping_data
555,A,Flight,5,4,250,3,low,F,11,3373,1,shipping_data
563,C,Flight,3,2,137,2,medium,M,17,1673,1,shipping_data
564,F,Flight,3,3,229,3,low,M,14,2164,1,shipping_data
566,F,Ship,4,3,216,2,low,M,52,3578,1,shipping_data
568,B,Ship,5,2,268,3,low,M,19,2526,1,shipping_data
569,C,Ship,3,3,205,5,medium,M,35,2988,1,shipping_data
577,D,Ship,4,1,230,3,medium,M,40,2225,1,shipping_data
578,F,Ship,3,2,210,3,medium,F,43,2096,1,shipping_data
583,D,Ship,2,5,144,3,medium,M,61,1313,1,shipping_data
587,C,Ship,3,2,158,3,high,F,59,1307,1,shipping_data
591,A,Ship,4,1,214,5,medium,M,51,2669,1,shipping_data
593,C,Ship,3,2,260,3,medium,F,2,2176,1,shipping_data
609,A,Ship,4,4,224,3,high,M,60,3145,1,shipping_data
621,A,Ship,2,5,265,2,low,F,50,3859,1,shipping_data
622,B,Ship,4,1,138,2,low,M,28,1528,1,shipping_data
624,F,Ship,4,1,165,3,medium,M,51,1293,1,shipping_data
625,D,Ship,4,3,265,3,low,F,65,3578,1,shipping_data
634,B,Ship,2,3,164,2,low,M,56,1491,1,shipping_data
638,F,Ship,3,3,229,6,medium,F,61,2298,1,shipping_data
648,F,Ship,5,2,105,4,high,M,1,1622,1,shipping_data
652,B,Ship,3,2,231,4,medium,M,48,3370,1,shipping_data
656,F,Ship,2,3,264,2,low,F,63,2896,1,shipping_data
669,A,Road,5,1,179,3,low,F,62,1945,1,shipping_data
674,F,Road,3,2,247,2,medium,M,39,3189,1,shipping_data
677,C,Road,4,5,189,2,low,F,15,2457,1,shipping_data
684,F,Flight,4,5,137,4,high,M,29,1262,1,shipping_data
695,C,Flight,4,4,214,3,low,M,36,2684,1,shipping_data
701,C,Flight,6,1,281,3,medium,F,36,2536,1,shipping_data
705,A,Ship,5,1,200,8,low,F,18,3806,1,shipping_data
709,D,Ship,4,1,139,3,low,F,25,1152,1,shipping_data
711,A,Ship,3,4,117,3,medium,M,23,1527,1,shipping_data
714,F,Ship,3,3,273,2,medium,F,16,2466,1,shipping_data
715,D,Ship,4,3,143,2,medium,F,64,1910,1,shipping_data
716,F,Ship,4,1,137,4,high,M,15,1391,1,shipping_data
719,C,Ship,4,5,187,2,low,M,44,3218,1,shipping_data
731,C,Ship,4,5,264,3,medium,M,16,2245,1,shipping_data
734,F,Ship,4,4,197,7,medium,F,22,2065,1,shipping_data
736,B,Ship,4,1,259,3,low,M,39,2427,1,shipping_data
737,C,Ship,5,3,200,8,low,F,9,2741,1,shipping_data
741,A,Ship,4,5,139,3,low,F,65,1277,1,shipping_data
743,C,Ship,3,5,180,4,medium,F,59,1481,1,shipping_data
748,B,Ship,4,4,177,2,low,M,6,1112,1,shipping_data
757,D,Ship,4,5,195,5,medium,F,10,3537,1,shipping_data
759,A,Ship,2,5,192,6,low,F,41,2673,1,shipping_data
762,F,Ship,3,4,218,3,low,M,22,3818,1,shipping_data
765,A,Ship,3,4,157,3,low,F,32,1370,1,shipping_data
766,B,Ship,4,2,259,4,low,F,13,2495,1,shipping_data
775,D,Ship,3,5,110,3,low,M,55,1875,1,shipping_data
783,A,Ship,4,5,215,2,medium,F,34,2258,1,shipping_data
789,A,Ship,5,4,134,2,low,F,20,1549,1,shipping_data
795,A,Ship,4,5,255,4,low,M,14,3099,1,shipping_data
796,B,Road,4,1,158,3,low,F,32,1061,1,shipping_data
800,F,Road,5,5,249,4,medium,F,38,2797,1,shipping_data
802,B,Road,3,4,261,2,medium,F,1,3398,1,shipping_data
837,A,Flight,3,4,229,2,low,M,51,2628,1,shipping_data
840,F,Ship,5,2,151,6,medium,M,12,1920,1,shipping_data
851,C,Ship,4,2,170,2,low,F,1,1446,1,shipping_data
853,D,Ship,3,2,149,4,medium,F,21,1636,1,shipping_data
857,C,Ship,3,4,265,2,high,F,64,2493,1,shipping_data
867,A,Ship,4,1,199,2,low,F,46,3371,1,shipping_data
882,F,Ship,4,5,190,2,low,M,36,3548,1,shipping_data
884,F,Ship,3,2,251,2,low,F,5,3443,1,shipping_data
896,F,Ship,4,3,170,3,low,F,21,1588,1,shipping_data
901,D,Ship,5,5,253,6,medium,M,59,2627,1,shipping_data
909,A,Ship,4,1,235,4,low,M,22,2066,1,shipping_data
915,A,Ship,3,1,255,2,medium,M,42,3459,1,shipping_data
917,C,Ship,5,5,261,8,medium,M,39,2103,1,shipping_data
922,B,Ship,4,4,209,8,medium,F,46,3345,1,shipping_data
928,B,Ship,3,3,179,2,low,F,60,1808,1,shipping_data
933,A,Road,3,5,242,3,medium,F,3,2268,1,shipping_data
938,F,Road,4,5,143,2,medium,F,20,1360,1,shipping_data
953,C,Road,3,5,188,3,high,F,9,3206,1,shipping_data
959,C,Flight,4,1,161,2,high,F,21,1075,1,shipping_data
961,D,Flight,3,4,210,2,low,F,35,2741,1,shipping_data
968,F,Flight,5,3,146,3,low,M,41,1204,1,shipping_data
971,C,Flight,6,2,118,2,low,M,40,1014,1,shipping_data
972,F,Flight,3,5,173,2,low,M,14,1638,1,shipping_data
1003,D,Ship,3,3,241,5,low,M,8,2182,1,shipping_data
1011,A,Ship,2,5,228,2,low,F,49,3024,1,shipping_data
1023,A,Ship,3,4,260,3,low,F,21,2003,1,shipping_data
1027,D,Ship,3,1,138,5,medium,F,8,1349,1,shipping_data
1040,F,Ship,2,5,275,2,low,M,41,2546,1,shipping_data
1042,B,Ship,3,1,236,3,medium,M,28,3290,1,shipping_data
1057,D,Ship,3,4,272,4,low,F,23,2048,1,shipping_data
1069,D,Ship,3,3,255,3,medium,M,23,3764,1,shipping_data
1072,B,Road,3,5,251,2,low,F,28,3936,1,shipping_data
1077,A,Road,3,4,195,3,medium,M,10,2021,1,shipping_data
1079,C,Road,3,5,272,3,medium,M,48,3780,1,shipping_data
1083,A,Road,6,3,236,3,medium,M,6,2639,1,shipping_data
1085,C,Road,3,4,262,3,low,M,7,2424,1,shipping_data
1088,F,Road,4,2,147,3,medium,M,44,1873,1,shipping_data
1091,C,Road,4,2,221,2,medium,M,54,3065,1,shipping_data
1108,B,Flight,3,1,211,2,low,F,45,3332,1,shipping_data
1111,D,Flight,5,1,196,3,medium,M,24,2957,1,shipping_data
1112,F,Flight,4,1,150,6,medium,F,42,1070,1,shipping_data
1113,A,Flight,5,1,222,3,high,M,21,2351,1,shipping_data
1114,B,Ship,3,2,203,3,high,M,3,2791,1,shipping_data
1119,A,Ship,3,2,171,3,medium,M,11,1282,1,shipping_data
1122,F,Ship,2,1,264,3,medium,M,10,3409,1,shipping_data
1124,F,Ship,3,5,240,3,medium,F,54,2919,1,shipping_data
1143,A,Ship,6,3,269,2,high,M,43,2300,1,shipping_data
1146,F,Ship,5,1,186,10,low,M,64,2529,1,shipping_data
1148,F,Ship,5,5,174,6,medium,F,26,1184,1,shipping_data
1150,B,Ship,4,2,193,2,high,F,48,2371,1,shipping_data
1156,B,Ship,4,3,173,2,low,F,10,1179,1,shipping_data
1157,C,Ship,4,5,262,3,medium,F,38,3139,1,shipping_data
1158,F,Ship,4,1,171,3,low,F,58,1516,1,shipping_data
1161,A,Ship,4,5,127,8,low,M,39,1411,1,shipping_data
1167,A,Ship,3,3,175,3,high,F,55,1229,1,shipping_data
1176,F,Ship,3,1,263,3,low,M,25,3689,1,shipping_data
1179,A,Ship,4,3,118,5,low,F,15,1601,1,shipping_data
1181,C,Ship,5,2,191,2,high,F,6,2059,1,shipping_data
1184,F,Ship,4,1,193,2,high,M,37,3510,1,shipping_data
1189,D,Ship,4,5,143,8,low,M,38,1095,1,shipping_data
1191,A,Ship,4,3,262,3,medium,M,46,2904,1,shipping_data
1194,F,Ship,3,4,266,2,high,M,49,2643,1,shipping_data
1195,D,Ship,4,1,127,8,low,F,12,1519,1,shipping_data
1196,F,Ship,5,5,167,8,low,M,44,1547,1,shipping_data
1200,F,Ship,6,5,135,5,low,M,55,1078,1,shipping_data
1202,F,Ship,6,1,213,3,low,M,63,1548,1,shipping_data
1207,D,Road,4,4,236,4,low,M,65,2280,1,shipping_data
1209,A,Road,3,1,154,2,low,F,44,1994,1,shipping_data
1211,C,Road,5,5,128,5,low,M,34,1008,1,shipping_data
1214,F,Road,4,3,256,3,low,F,15,3155,1,shipping_data
1218,F,Road,4,3,135,2,medium,F,37,1597,1,shipping_data
1225,D,Road,3,3,218,2,medium,M,9,2069,1,shipping_data
1246,B,Flight,4,3,258,3,medium,M,58,2579,1,shipping_data
1248,F,Flight,4,4,197,3,low,F,29,2915,1,shipping_data
1251,A,Ship,4,4,192,4,medium,F,46,3599,1,shipping_data
1254,F,Ship,5,3,197,2,low,F,48,2481,1,shipping_data
1255,D,Ship,3,1,203,4,medium,M,12,2779,1,shipping_data
1262,F,Ship,4,1,258,3,medium,F,4,3686,1,shipping_data
1278,F,Ship,3,1,275,2,high,F,1,2597,1,shipping_data
1282,B,Ship,3,3,110,3,low,M,7,1235,1,shipping_data
1283,C,Ship,3,4,216,3,low,F,41,2042,1,shipping_data
1285,D,Ship,5,4,214,2,medium,F,1,3709,1,shipping_data
1286,F,Ship,5,2,196,3,low,M,38,2211,1,shipping_data
1298,F,Ship,4,4,158,2,medium,M,15,1030,1,shipping_data
1331,C,Ship,3,1,199,2,medium,F,18,3346,1,shipping_data
1351,D,Road,4,1,202,3,high,M,59,2563,1,shipping_data
1352,F,Road,5,5,245,4,medium,F,12,2225,1,shipping_data
1356,F,Road,3,4,218,3,medium,F,4,3534,1,shipping_data
1361,C,Road,5,5,230,2,medium,F,36,3381,1,shipping_data
1369,D,Flight,4,3,247,4,low,F,19,3838,1,shipping_data
1370,F,Flight,3,2,152,6,low,F,7,1674,1,shipping_data
1374,F,Flight,5,5,190,4,medium,F,47,3644,1,shipping_data
1384,B,Flight,3,2,238,4,medium,F,49,3179,1,shipping_data
1394,F,Ship,5,2,239,2,medium,F,59,2897,1,shipping_data
1403,C,Ship,5,4,199,4,low,M,24,3443,1,shipping_data
1407,A,Ship,4,1,153,4,low,M,7,1130,1,shipping_data
1409,C,Ship,5,3,274,3,medium,F,54,2905,1,shipping_data
1414,B,Ship,3,4,243,2,low,F,14,3693,1,shipping_data
1433,C,Ship,7,2,229,3,low,F,43,1793,1,shipping_data
1434,F,Ship,3,2,176,3,low,M,51,1297,1,shipping_data
1435,D,Ship,3,5,172,2,medium,M,60,1840,1,shipping_data
1438,B,Ship,4,3,153,3,medium,M,2,1095,1,shipping_data
1454,F,Ship,6,3,223,6,medium,M,29,2980,1,shipping_data
1455,A,Ship,3,5,230,2,low,M,27,3840,1,shipping_data
1458,F,Ship,4,4,232,4,low,M,27,3436,1,shipping_data
1459,D,Ship,3,2,231,3,low,M,55,3952,1,shipping_data
1471,D,Ship,2,3,123,2,medium,M,11,1383,1,shipping_data
1473,A,Ship,4,3,233,2,low,F,45,2732,1,shipping_data
1480,B,Ship,3,5,225,3,medium,M,8,3813,1,shipping_data
1487,C,Road,3,1,209,3,low,F,20,3181,1,shipping_data
1489,D,Road,4,3,164,3,low,M,28,1880,1,shipping_data
1495,D,Road,3,5,192,2,medium,F,5,2339,1,shipping_data
1497,A,Road,5,2,156,4,medium,M,39,1204,1,shipping_data
1499,C,Road,4,5,162,2,medium,M,62,1650,1,shipping_data
1502,F,Road,3,1,269,2,medium,M,38,2195,1,shipping_data
1510,B,Flight,3,3,223,2,medium,M,30,3622,1,shipping_data
1512,F,Flight,4,4,207,3,low,M,20,2637,1,shipping_data
1513,D,Flight,5,3,171,3,medium,M,62,1304,1,shipping_data
1517,C,Flight,3,5,182,3,medium,M,34,3595,1,shipping_data
1524,F,Flight,3,5,202,2,low,F,4,3372,1,shipping_data
1531,D,Ship,5,2,241,3,low,M,39,3743,1,shipping_data
1534,B,Ship,3,1,171,3,medium,M,28,1075,1,shipping_data
1537,D,Ship,3,4,211,3,low,M,56,3654,1,shipping_data
1563,A,Ship,4,2,136,2,medium,M,19,1387,1,shipping_data
1567,D,Ship,5,1,159,4,low,M,38,1277,1,shipping_data
1577,C,Ship,5,1,261,3,low,M,25,3494,1,shipping_data
1579,D,Ship,5,4,153,6,medium,M,35,1082,1,shipping_data
1580,F,Ship,3,5,137,3,high,F,28,1815,1,shipping_data
1585,D,Ship,2,2,182,2,medium,F,14,3751,1,shipping_data
1594,B,Ship,4,2,173,3,medium,F,63,1220,1,shipping_data
1595,C,Ship,3,2,148,4,medium,F,38,1322,1,shipping_data
1596,F,Ship,4,3,158,3,medium,F,27,1207,1,shipping_data
1598,F,Ship,2,4,105,2,medium,M,54,1707,1,shipping_data
1609,D,Ship,3,1,227,3,medium,M,52,3336,1,shipping_data
1617,A,Ship,3,4,121,3,low,F,63,1611,1,shipping_data
1618,B,Road,3,2,204,3,medium,M,48,2792,1,shipping_data
1624,B,Road,3,4,157,2,medium,M,12,1694,1,shipping_data
1627,D,Road,5,2,240,7,medium,F,57,2708,1,shipping_data
1635,A,Road,6,3,241,6,high,F,8,3878,1,shipping_data
1651,D,Flight,4,2,203,5,low,F,20,3098,1,shipping_data
1656,F,Flight,3,3,157,2,medium,F,62,1366,1,shipping_data
1661,C,Flight,4,4,140,3,medium,F,4,1467,1,shipping_data
1663,D,Ship,6,1,286,7,medium,F,7,2338,1,shipping_data
1670,F,Ship,5,5,164,5,low,M,52,1644,1,shipping_data
1671,A,Ship,4,2,209,4,low,F,10,3370,1,shipping_data
1672,B,Ship,3,2,192,3,low,F,19,3183,1,shipping_data
1684,B,Ship,3,3,250,3,medium,M,9,2752,1,shipping_data
1689,A,Ship,5,4,221,2,low,F,59,3444,1,shipping_data
1692,F,Ship,4,2,189,3,medium,M,6,3671,1,shipping_data
1693,D,Ship,4,4,212,4,medium,F,2,3830,1,shipping_data
1704,F,Ship,4,3,201,3,low,F,46,3641,1,shipping_data
1711,D,Ship,4,1,227,3,low,M,54,3972,1,shipping_data
1714,B,Ship,4,2,200,3,medium,M,45,2486,1,shipping_data
1719,A,Ship,4,5,178,3,high,M,22,1907,1,shipping_data
1723,D,Ship,5,3,186,4,medium,F,11,3676,1,shipping_data
1731,A,Ship,5,3,181,4,medium,F,32,3893,1,shipping_data
1732,B,Ship,3,3,138,4,low,M,56,1440,1,shipping_data
1733,C,Ship,4,3,139,3,medium,F,47,1323,1,shipping_data
1741,D,Ship,4,3,210,3,medium,M,11,2655,1,shipping_data
1745,C,Ship,3,1,234,3,high,F,60,2596,1,shipping_data
1747,D,Ship,5,1,226,2,low,M,18,2582,1,shipping_data
1748,F,Ship,4,5,263,2,low,M,62,2267,1,shipping_data
1759,D,Road,3,2,267,5,low,F,48,2622,1,shipping_data
1767,A,Road,4,3,218,4,low,F,50,3990,1,shipping_data
1769,C,Road,4,3,147,2,high,F,52,1570,1,shipping_data
1776,F,Road,5,5,190,4,medium,M,12,2947,1,shipping_data
1781,C,Flight,4,2,237,2,medium,F,6,2965,1,shipping_data
1784,F,Flight,5,4,206,3,low,M,53,2182,1,shipping_data
1786,B,Flight,4,2,149,4,low,M,40,1102,1,shipping_data
1787,C,Flight,6,2,148,4,low,M,56,1511,1,shipping_data
1792,B,Flight,4,4,137,2,medium,M,37,1447,1,shipping_data
1794,F,Flight,3,1,163,3,medium,M,59,1005,1,shipping_data
1796,F,Flight,3,3,165,3,high,M,35,1459,1,shipping_data
1804,B,Ship,3,4,151,3,low,M,16,1020,1,shipping_data
1806,F,Ship,4,1,151,2,medium,M,6,1114,1,shipping_data
1808,F,Ship,5,1,180,2,low,M,35,1204,1,shipping_data
1826,F,Ship,4,5,268,3,low,M,17,3085,1,shipping_data
1834,B,Ship,3,5,245,4,high,F,26,2072,1,shipping_data
1836,F,Ship,4,2,234,2,high,M,27,3393,1,shipping_data
1840,B,Ship,3,2,188,3,medium,M,3,3837,1,shipping_data
1845,A,Ship,3,4,198,2,medium,F,20,2266,1,shipping_data
1852,B,Ship,3,1,169,10,medium,F,15,1107,1,shipping_data
1863,A,Ship,2,1,104,7,low,M,30,1870,1,shipping_data
1865,C,Ship,4,3,213,3,medium,M,57,3599,1,shipping_data
1871,C,Ship,3,1,245,4,high,F,47,3111,1,shipping_data
1884,F,Ship,3,5,241,10,medium,M,41,3015,1,shipping_data
1886,F,Ship,5,3,123,2,low,F,30,1068,1,shipping_data
1890,F,Ship,3,4,190,10,medium,F,38,2018,1,shipping_data
1892,F,Road,4,5,238,10,medium,F,44,3860,1,shipping_data
1897,D,Road,2,3,170,8,low,M,61,1240,1,shipping_data
1905,A,Road,4,5,277,5,medium,F,32,1055,1,shipping_data
1906,B,Road,2,4,140,3,low,M,32,1819,1,shipping_data
1916,F,Flight,5,2,156,2,medium,M,19,1311,1,shipping_data
1924,B,Flight,4,1,269,3,medium,F,23,3652,1,shipping_data
1936,B,Ship,5,2,174,2,medium,M,54,1091,1,shipping_data
1942,B,Ship,3,2,183,4,low,M,49,2414,1,shipping_data
1951,D,Ship,4,3,148,2,low,M,29,1809,1,shipping_data
1953,A,Ship,3,5,135,3,low,M,20,1772,1,shipping_data
1954,B,Ship,4,4,263,2,medium,F,41,3955,1,shipping_data
1955,C,Ship,5,4,228,3,medium,M,20,3382,1,shipping_data
1965,A,Ship,6,5,212,4,medium,F,13,3676,1,shipping_data
1966,B,Ship,3,4,226,3,medium,F,26,2299,1,shipping_data
1972,B,Ship,4,4,240,3,low,F,62,3478,1,shipping_data
1982,F,Ship,4,2,176,3,medium,F,12,1750,1,shipping_data
1984,B,Ship,3,4,234,2,medium,M,52,3543,1,shipping_data
1985,C,Ship,3,3,154,2,low,F,57,1096,1,shipping_data
2010,F,Ship,3,5,168,4,medium,M,23,1347,1,shipping_data
2013,A,Ship,3,4,195,3,medium,M,23,3499,1,shipping_data
2019,A,Ship,5,4,206,4,low,F,3,3755,1,shipping_data
2021,C,Ship,3,5,212,3,low,F,2,2456,1,shipping_data
2031,A,Road,4,5,266,3,medium,M,5,3718,1,shipping_data
2037,A,Road,4,2,172,2,low,M,23,1019,1,shipping_data
2040,F,Road,5,2,202,3,medium,M,34,3885,1,shipping_data
2056,B,Flight,5,3,228,3,medium,F,38,3631,1,shipping_data
2070,F,Flight,3,4,190,10,medium,F,32,2064,1,shipping_data
2076,F,Ship,3,1,176,3,low,F,63,1420,1,shipping_data
2086,B,Ship,4,2,233,7,medium,M,56,3925,1,shipping_data
2089,D,Ship,3,5,156,4,medium,F,26,1769,1,shipping_data
2099,C,Ship,3,5,175,2,low,F,40,1460,1,shipping_data
2108,F,Ship,5,5,106,5,low,F,46,1275,1,shipping_data
2109,A,Ship,4,2,139,3,low,M,29,1365,1,shipping_data
2110,B,Ship,4,3,149,2,low,F,58,1657,1,shipping_data
2120,F,Ship,3,3,218,3,low,M,19,3770,1,shipping_data
2125,D,Ship,3,2,250,5,low,F,36,2717,1,shipping_data
2128,B,Ship,3,1,236,2,high,M,2,3949,1,shipping_data
2139,A,Ship,2,3,140,2,medium,M,20,1832,1,shipping_data
2141,C,Ship,3,3,160,3,medium,F,65,1228,1,shipping_data
2146,B,Ship,4,4,181,3,low,M,44,2070,1,shipping_data
2151,A,Ship,4,3,214,2,low,M,57,2078,1,shipping_data
2153,C,Ship,4,2,191,2,low,M,11,3985,1,shipping_data
2155,D,Ship,3,3,211,4,high,F,22,2942,1,shipping_data
2158,B,Ship,3,5,208,3,low,F,41,3977,1,shipping_data
2168,F,Road,3,2,151,2,low,M,26,1793,1,shipping_data
2169,A,Road,3,1,164,2,low,M,2,1104,1,shipping_data
2175,A,Road,3,5,166,3,low,F,1,1366,1,shipping_data
2185,D,Road,3,2,204,2,medium,F,35,2090,1,shipping_data
2190,F,Flight,5,1,184,3,low,F,19,2625,1,shipping_data
2192,F,Flight,4,2,139,4,low,F,41,1511,1,shipping_data
2200,B,Flight,5,5,216,2,high,M,33,3202,1,shipping_data
2211,A,Ship,5,1,137,2,low,M,52,1012,1,shipping_data
2216,F,Ship,3,4,260,4,high,M,17,2666,1,shipping_data
2217,A,Ship,4,2,166,3,low,M,62,1944,1,shipping_data
2222,F,Ship,3,1,164,2,low,M,2,1304,1,shipping_data
2228,F,Ship,5,1,212,3,low,F,11,2073,1,shipping_data
2233,D,Ship,4,4,156,3,low,M,20,1523,1,shipping_data
2237,C,Ship,4,2,275,3,medium,M,26,2449,1,shipping_data
